device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,avg_power_w,energy_mj,ms_event,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size,runs,warmup
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,16,1.000000,196,197,66.411500,90.860921,1.368150,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,16,1.000000,196,197,67.680000,64.404071,0.951597,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,24,1.000000,196,197,67.348000,41.460937,0.615622,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,24,1.000000,196,197,67.403500,104.739647,1.553920,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,24,1.000000,196,197,68.825500,85.629713,1.244157,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,32,1.000000,196,197,67.450500,43.631085,0.646861,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,32,1.000000,196,197,68.928500,127.240025,1.845971,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,32,1.000000,196,197,71.300500,110.876269,1.555056,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,48,1.000000,196,197,70.637500,52.925909,0.749261,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,48,1.000000,196,197,71.362000,184.295047,2.582538,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,48,1.000000,196,197,76.090500,164.232764,2.158387,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,64,1.000000,196,197,72.719500,74.702591,1.027270,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,64,1.000000,196,197,73.076000,247.304852,3.384214,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,64,1.000000,196,197,77.413500,213.286951,2.755165,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,1,0.750000,100,76,73.675500,40.053067,0.543642,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,1,0.750000,100,76,65.293000,91.552069,1.402173,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,1,0.750000,100,76,64.218000,44.355219,0.690698,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,8,0.750000,100,76,64.363000,35.425602,0.550403,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,0.750000,100,76,64.771500,72.680255,1.122102,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,0.750000,100,76,65.274500,41.434791,0.634778,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,0.750000,100,76,65.698000,32.056420,0.487936,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,0.750000,100,76,65.818500,88.001967,1.337040,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,0.750000,100,76,66.054500,42.640135,0.645530,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,0.750000,100,76,66.043500,66.824820,1.011830,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,0.750000,100,76,66.008500,89.959129,1.362842,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,0.750000,100,76,66.304000,45.659586,0.688640,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,0.750000,100,76,66.596500,31.745326,0.476682,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,0.750000,100,76,66.655000,79.155212,1.187536,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,0.750000,100,76,67.135000,52.831486,0.786944,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,48,0.750000,100,76,67.459000,42.836141,0.634995,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,48,0.750000,100,76,67.117000,101.655300,1.514598,ok,32,1280,16,4.000000,1.000000,80,4,10,5
