device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,ms,peak_mem_mb,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,0.750000,100,76,0.239015,111.809,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,0.750000,100,76,0.302434,128.686,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,0.750000,100,76,0.231504,98.052,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,0.750000,100,76,0.328898,120.246,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,0.750000,100,76,0.535607,141.905,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,0.750000,100,76,0.338674,101.177,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,0.750000,100,76,0.442624,129.793,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,0.750000,100,76,0.982165,155.389,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,0.750000,100,76,0.438452,104.302,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,0.750000,100,76,0.624299,138.371,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,0.750000,100,76,1.129866,168.874,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,48,0.750000,100,76,0.555754,110.833,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,48,0.750000,100,76,0.918865,155.871,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,48,0.750000,100,76,1.677513,195.842,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,64,0.750000,100,76,0.761509,117.177,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,64,0.750000,100,76,1.204252,174.434,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,64,0.750000,100,76,2.086401,222.936,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,1,0.750000,121,91,0.106573,15.231,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,1,0.750000,121,91,0.150442,51.742,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,1,0.750000,121,91,0.118375,116.936,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,8,0.750000,121,91,0.140667,96.041,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,8,0.750000,121,91,0.246286,113.586,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,8,0.750000,121,91,0.358224,131.030,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,16,0.750000,121,91,0.236154,99.365,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,16,0.750000,121,91,0.393867,123.762,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,16,0.750000,121,91,0.804186,146.928,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,24,0.750000,121,91,0.340223,103.802,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,24,0.750000,121,91,0.551581,134.430,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,24,0.750000,121,91,1.008034,164.268,ok,32,1280,16,4.0,1.0,80,4
